id,url,price,price_per_m2,currency,rooms,area,floor,floors_total,address,metro,metro_minutes,metro_transport,district,description,seller_type,published,room_type_query
329889469,https://www.cian.ru/sale/flat/329889469/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,38000000,461165,rur,4,82.4,23,24,"Россия, Москва, Шереметьевская улица, 21",Марьина Роща,3,walk,Марьина роща,"4-комн. апарт.  ·  82,4 м²  ·  23/24 этаж",specialist,четыре дня назад,4
330297801,https://www.cian.ru/sale/flat/330297801/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,45900000,392308,rur,4,117.0,1,10,"Россия, Москва, бульвар Маршала Рокоссовского, 6к1",,,,Богородское,4-комн.кв.  ·  117 м²  ·  1/10 этаж,specialist,неделю назад,4
330561224,https://www.cian.ru/sale/flat/330561224/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,47599737,655644,rur,4,72.6,27,31,"Москва, Западный административный округ, район Очаково-Матвеевское, жилой комплекс Левел Мичуринский, к13",Мичуринский проспект,6,transport,Очаково-Матвеевское,"4-комн.кв.  ·  72,6 м²  ·  27/31 этаж",agency,45 минут назад,4
324446035,https://www.cian.ru/sale/flat/324446035/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,32000000,320000,rur,4,100.0,19,22,"Россия, Москва, улица Борисовские Пруды, 16к6",Борисово,3,walk,Братеево,4-комн.кв.  ·  100 м²  ·  19/22 этаж,specialist,2 недели назад,4
330422375,https://www.cian.ru/sale/flat/330422375/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,35000000,343137,rur,4,102.0,4,4,"Россия, Москва, Наставнический переулок, 8к1",Чкаловская,9,walk,Таганский,4-комн.кв.  ·  102 м²  ·  4/4 этаж,,5 часов назад,4
323777073,https://www.cian.ru/sale/flat/323777073/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,43682674,395676,rur,4,110.4,19,19,"Москва, 3-я Гражданская улица, 21",Бульвар Рокоссовского,4,transport,Богородское,"4-комн.кв.  ·  110,4 м²  ·  19/19 этаж",agency,неделю назад,4
330324980,https://www.cian.ru/sale/flat/330324980/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,33112060,300200,rur,4,110.3,21,25,"муниципальный округ Ново-Переделкино, Чоботовская улица, дом 2А, этаж 21, кв. 351",Новопеределкино,6,walk,Ново-Переделкино,"4-комн.кв.  ·  110,3 м²  ·  21/25 этаж",agency,8 часов назад,4
323869651,https://www.cian.ru/sale/flat/323869651/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,43006320,519400,rur,4,82.8,23,28,"Москва, Электролитный проезд, 6",Нагорная,7,walk,Нагорный,"4-комн.кв.  ·  82,8 м²  ·  23/28 этаж",agency,18 часов назад,4
330568041,https://www.cian.ru/sale/flat/330568041/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,35000000,324977,rur,4,107.7,19,21,"Россия, Москва, Новогиреевская улица, 5Ак2",Перово,18,walk,Перово,"4-комн.кв.  ·  107,7 м²  ·  19/21 этаж",agency,5 часов назад,4
330333272,https://www.cian.ru/sale/flat/330333272/?mlSearchSessionGuid=dc691eb8cac15f7307d79bb3423dec8e,35300000,306158,rur,4,115.3,11,12,"Россия, Москва, Тайнинская улица, 9",Бабушкинская,5,transport,Лосиноостровский,"4-комн.кв.  ·  115,3 м²  ·  11/12 этаж",specialist,шесть дней назад,4
