,rooms,area,floor,floors_total,metro,metro_minutes,metro_transport,district,seller_type,price_rub
19928,2.0,57.5,1,5,Кунцевская,17.0,walk,Можайский,owner,4500000.0
19929,0.0,30.0,8,24,Шелепиха,17.0,walk,Хорошево-Мневники,specialist,18000000.0
19930,2.0,48.0,2,9,Пролетарская,8.0,walk,Таганский,specialist,23800000.0
19931,0.0,28.8,9,19,Терехово ,3.0,walk,Хорошево-Мневники,specialist,20800000.0
19932,4.0,100.1,18,22,Первомайская,3.0,transport,Восточное Измайлово,agency,26990000.0
19933,2.0,122.0,7,8,Маяковская,10.0,walk,Тверской,agency,518740000.0
19934,3.0,134.3,6,6,Новокузнецкая,10.0,walk,Замоскворечье,agency,711890000.0
19935,1.0,40.41,12,25,Варшавская,12.0,walk,Москворечье-Сабурово,specialist,20000000.0
19936,3.0,62.6,1,12,Каспийская,12.0,walk,Бирюлево Восточное,agency,13682000.0
19937,2.0,55.0,14,30,Кунцевская,8.0,walk,Кунцево,specialist,32890000.0
19938,3.0,220.0,2,4,Парк Культуры,6.0,walk,Хамовники,agency,548425000.0
19939,6.0,136.0,3,13,Вавиловская,9.0,walk,Ломоносовский,agency,85000000.0
19940,2.0,58.5,15,18,Корниловская,17.0,walk,Мосрентген,agency,20550816.0
19941,3.0,102.9,16,23,Очаково,18.0,walk,Очаково-Матвеевское,specialist,57000000.0
19942,1.0,37.9,5,14,Зеленоград — Крюково,4.0,transport,15-й,specialist,12000000.0
19943,2.0,60.4,15,18,Преображенская площадь,5.0,transport,Богородское,agency,28350000.0
19944,1.0,34.6,26,28,Зеленоград — Крюково,13.0,transport,Крюково,agency,13428260.0
19945,3.0,66.76,2,27,Октябрьское поле,15.0,walk,Хорошево-Мневники,agency,33971339.0
19946,5.0,247.9,1,6,Спортивная,8.0,walk,Хамовники,specialist,165000000.0
19947,1.0,33.0,9,9,Давыдково,5.0,walk,Фили-Давыдково,specialist,15500000.0
19948,3.0,84.0,11,17,Бульвар Дмитрия Донского,12.0,transport,Южное Бутово,specialist,17000000.0
19949,3.0,60.5,4,12,Зеленоград — Крюково,4.0,transport,12-й,specialist,18000000.0
19950,2.0,62.4,29,46,Фили,11.0,walk,Дорогомилово,agency,65708549.0
19951,3.0,58.0,1,9,Щёлковская,20.0,walk,Гольяново,specialist,14400000.0
19952,1.0,33.46,17,17,Филатов Луг,13.0,transport,Филимонковское,agency,10770272.0
19953,3.0,210.0,4,6,Белорусская,7.0,walk,Беговой,agency,110000000.0
19954,3.0,121.1,5,7,Полянка,7.0,walk,Якиманка,agency,190127000.0
19955,2.0,123.8,3,22,Народное Ополчение,11.0,walk,Хорошево-Мневники,specialist,38000000.0
19956,1.0,41.5,18,28,ЗИЛ,9.0,walk,Даниловский,specialist,27000000.0
19957,2.0,100.61,12,16,Преображенская площадь,7.0,walk,Преображенское,agency,57298469.0
19958,2.0,53.9,15,27,Народное Ополчение,5.0,transport,Хорошево-Мневники,specialist,24399999.0
19959,2.0,65.5,4,12,Планерная,8.0,transport,Куркино,specialist,19700000.0
19960,3.0,110.0,7,27,Октябрьское поле,5.0,walk,Щукино,specialist,49900000.0
19961,3.0,110.0,8,8,Ольховая,16.0,walk,Сосенское,specialist,56900000.0
19962,3.0,55.9,5,5,Арбатская,5.0,walk,Пресненский,agency,39500000.0
19963,1.0,31.3,5,9,Плющево,4.0,walk,Рязанский,specialist,11200000.0
19964,3.0,86.2,2,6,Фили,2.0,walk,Филевский парк,agency,35500000.0
19965,3.0,83.0,16,25,Зеленоград — Крюково,6.0,transport,Крюково,specialist,23500000.0
19966,0.0,26.8,19,59,Трикотажная,8.0,walk,Покровское-Стрешнево,agency,16573937.0
19967,4.0,111.9,21,21,Бутырская,10.0,walk,Марфино,specialist,106000000.0
19968,1.0,34.74,3,13,Беломорская,17.0,transport,Молжаниновский,agency,15069969.0
19969,3.0,119.6,15,18,Воробьёвы горы,15.0,walk,Хамовники,agency,273971000.0
19970,3.0,75.4,10,17,Щёлковская,7.0,transport,Восточный,agency,15950000.0
19971,1.0,34.4,4,4,Ольховая,26.0,transport,Троицк,agency,10000000.0
19972,1.0,33.0,2,8,Таганская,9.0,walk,Таганский,specialist,20499000.0
19973,4.0,64.0,8,9,Строгино,6.0,transport,Строгино,specialist,23000000.0
19974,5.0,137.0,5,5,Сухаревская,5.0,walk,Мещанский,specialist,79000000.0
19975,2.0,42.5,2,9,Коломенская,9.0,walk,Нагатино-Садовники,specialist,16500000.0
19976,4.0,200.0,3,14,Спортивная,9.0,walk,Хамовники,agency,540000000.0
19977,2.0,41.2,4,47,Воронцовская,14.0,walk,Обручевский,specialist,26500000.0
19978,0.0,22.5,14,32,Селигерская,13.0,walk,Западное Дегунино,specialist,14900000.0
19979,1.0,45.1,10,23,Ботанический сад,10.0,walk,Ростокино,agency,35138970.0
19980,3.0,126.0,13,19,Мичуринский проспект,9.0,walk,Проспект Вернадского,agency,75000000.0
19981,2.0,68.8,4,9,Потапово,16.0,walk,Сосенское,specialist,19900000.0
19982,4.0,92.8,4,9,Парк Культуры,8.0,walk,Хамовники,specialist,85000000.0
